9051.7216,121.9400,160.4400
9060.7653,103.0000,197.0800
9061.2309,103.0000,196.9600
9065.8491,108.6000,200.1700
9067.6195,110.8700,174.9600
9068.7414,142.4100,150.6800
9071.2284,226.6400,56.7900
9073.7328,261.3400,35.4600
9074.1704,254.5300,39.9500
9074.2438,252.9000,39.8400
9074.6931,237.1300,38.9900
9074.7122,235.8900,39.5900
9075.5211,226.1000,74.6200
9076.2193,227.8200,110.5200
9076.6060,228.1700,129.7100
9076.6195,228.1700,129.7100
9076.7308,228.2400,136.3900
9077.2107,234.5700,159.0600
9077.2167,234.5700,159.0600
9077.2317,235.5000,160.5400
9077.5171,243.2200,169.3900
9077.5425,244.2400,170.2000
9077.5834,245.2800,170.9300
9077.6651,248.2900,172.6000
9077.9133,253.2900,175.4900
9077.9739,254.2800,176.1900
9078.0257,254.7000,176.5200
9078.3722,256.1900,179.6800
9078.3774,256.1900,179.6800
9078.6125,257.9600,181.1000
9078.6174,257.9600,181.1000
9078.6315,257.9600,181.1000
9078.7782,259.6900,181.6200
9078.8993,260.9000,181.7000
9078.9120,261.3000,181.7000
9079.0052,262.2800,181.6100
9079.0393,262.5400,181.5600
9079.1390,263.1400,181.4100
9079.2025,263.3700,181.3300
9079.3231,263.4500,181.2200
9079.4314,263.3900,181.2700
9079.6947,263.2500,181.6800
9079.9789,263.1900,182.1300
9079.9872,263.1900,182.1300
9080.6419,263.0400,182.9200
9081.2442,263.0000,182.9600
9081.6358,263.1100,182.8900
9081.6941,263.1100,182.9000
9081.9970,262.9700,183.1400
9082.1440,262.8000,183.4100
9082.5238,262.1900,183.9200
9082.9128,261.9700,183.9700
9083.2032,262.0000,183.9600
9083.7029,262.1300,183.5700
9083.7643,262.2100,183.3900
9085.9546,262.0000,181.8200
9086.0231,262.0000,181.7000
9086.3937,262.0000,181.2300
9086.7164,262.0000,181.1400
9086.8687,262.0000,181.3500
9087.5291,262.0000,181.4600
9087.5928,262.0000,181.3200
9088.0810,262.0000,181.0200
9088.0934,262.0000,181.0200
9089.4422,262.0000,181.5100
9089.9920,262.0000,181.9600
9090.4348,262.0000,181.9600
9090.8207,262.0000,181.9600
9091.0563,262.0000,181.9600
9091.1303,262.0000,181.9600
9092.5454,263.6300,179.5000
9093.2328,262.8200,162.9300
9093.4053,261.6900,161.6100
9093.4145,261.3600,161.5500
9093.4356,261.3600,161.5500
9093.5128,260.5400,161.5300
9093.5221,260.0300,161.5400
9093.5691,259.4500,161.5400
9093.6432,258.1000,161.5200
9093.8351,252.0300,162.0700
9093.9056,249.7800,162.1600
9094.4895,237.1600,157.0200
9095.1293,226.0600,153.6400
9095.7212,219.0400,154.9000
9095.7642,218.9600,154.9300
9096.2511,218.9800,155.6000
9096.4737,218.6300,156.1300
9096.4913,218.5700,156.2200
9096.5434,218.5000,156.3000
9096.6046,218.3700,156.4200
9096.6114,218.3700,156.4200
9096.6724,218.2400,156.4900
9099.2047,203.2300,157.9100
9099.8348,194.0000,157.7700
9099.9025,193.2200,157.7000
9100.1105,191.4800,157.6000
9100.6333,189.9400,159.2500
9101.6080,177.3100,159.6000
9101.6798,176.4200,159.9200
9101.7208,175.2700,160.1600
9101.7293,175.2700,160.1600
9101.7699,174.6000,160.2600
9101.7815,174.6000,160.2600
9101.9095,171.4300,160.6200
9102.0829,166.3000,160.9800
9102.0902,165.0900,161.0300
9102.3793,153.9300,161.1000
9102.6613,139.6500,161.8300
9103.3110,112.8700,175.9200
9103.3195,112.8700,175.9200
9103.3284,111.9600,177.1900
9103.3371,111.9600,177.1900
9103.7213,105.1600,186.9800
9103.8255,103.6900,189.3300
9103.8903,103.1500,190.4000
9103.9949,102.5600,191.8600
9104.1989,101.9200,194.7000
9104.3894,102.1500,196.8800
9104.4008,102.2500,197.2700
9104.4754,102.4500,198.0500
9104.5933,102.8500,199.0100
